lon,lat,time
48.15139,-18.5152,19.00-19.10
48.15339,-18.51586,19.20-19.30
48.15913,-18.5192,18.50-18.55
48.16219,-18.52508,19.10-19.15
48.16429,-18.5221,19.05-19.10
48.16275,-18.52053,18.10-18.15
48.15139,-18.5152,18.50-19.00
48.15139,-18.5152,18.40-18.50
48.15139,-18.5152,18.40-18.50
48.15339,-18.51586,19.00-19.10
48.15339,-18.51586,19.20-19.30
48.15339,-18.51586,19.20-19.30
48.15689,-18.51139,20.35-20.40
48.15689,-18.51139,20.35-20.40
48.16072,-18.52089,18.00-18.05
48.16072,-18.52089,18.00-18.05
48.16072,-18.52089,18.10-18.15
48.16072,-18.52089,18.10-18.15
48.16072,-18.52089,18.15-18.20
48.16072,-18.52089,18.15-18.20
48.16072,-18.52089,18.25-18.30
48.16072,-18.52089,18.25-18.30
48.15913,-18.5192,18.50-18.55
48.16219,-18.52508,19.00-19.05
48.16219,-18.52508,19.00-19.05
48.12742,-18.47995,19.10-19.15
48.12742,-18.47995,19.20-19.25
48.12742,-18.47995,19.20-19.25
48.12742,-18.47995,19.40-19.45
48.12742,-18.47995,19.40-19.45
48.12742,-18.47995,19.50-19.55
48.12742,-18.47995,19.50-19.55
48.12742,-18.47995,20.00-20.05
48.12742,-18.47995,20.00-20.05
48.12742,-18.47995,20.10-20.15
48.12742,-18.47995,20.10-20.15
48.12742,-18.47995,20.30-20.35
48.12742,-18.47995,20.30-20.35
48.12742,-18.47995,20.50-20.55
48.12742,-18.47995,20.50-20.55
48.12742,-18.47995,21.00-21.05
48.12742,-18.47995,21.00-21.05
48.12742,-18.47995,21.10-21.15
48.12742,-18.47995,21.10-21.15
48.16429,-18.5221,19.05-19.10
48.1615,-18.51455,18.10-18.15
48.1615,-18.51455,18.10-18.15
48.135640,-18.510860,21.45-21.50